Leader	Year	Grade	TEAM	0.00000	0.01961	0.03922	0.05882	0.07843	0.09804	0.11765	0.13725	0.15686	0.17647	0.19608	0.21569	0.23529	0.25490	0.27451	0.29412	0.31373	0.33333	0.35294	0.37255	0.39216	0.41176	0.43137	0.45098	0.47059	0.49020	0.50980	0.52941	0.54902	0.56863	0.58824	0.60784	0.62745	0.64706	0.66667	0.68627	0.70588	0.72549	0.74510	0.76471	0.78431	0.80392	0.82353	0.84314	0.86275	0.88235	0.90196	0.92157	0.94118	0.96078	0.98039	1.00000	Size	EC	Lead-int	GradeC
A	DBA 1718	6.46	DBA 1718 P2 GH	0.00000	0.01961	-0.03845	-0.01885	0.00076	0.02037	0.03998	0.05958	0.07919	0.09880	0.11841	0.13802	0.15762	0.17723	0.19684	0.08053	0.10014	0.11974	0.13935	0.15896	0.17857	0.19817	0.21778	0.23739	0.25700	0.27661	0.29621	0.31582	0.18009	0.19970	0.14164	0.16124	0.18085	0.20046	0.22007	0.23967	0.25928	0.27889	0.23442	0.25403	0.18625	0.20586	0.10120	0.12081	0.14042	0.16002	0.17963	0.15070	0.17031	0.15107	0.17068	0.00000	5	0.09011	1	5
D	DBA 1617	9.44	DBA 1617 P2 G2	0.00000	0.01961	-0.00977	-0.00184	0.01777	0.03738	0.01966	0.03926	0.05887	0.07848	0.07865	0.09826	0.11786	0.10248	0.12209	0.14170	0.07436	0.09396	0.08573	0.07618	0.09579	0.09984	0.02901	0.04862	0.06823	0.08784	0.08877	0.10838	0.12799	0.12303	0.14264	0.16224	0.15611	0.14445	0.16406	0.16018	0.17979	0.19224	0.16519	0.18480	0.14577	0.12440	0.14401	0.14417	0.16378	0.09388	0.07071	0.09032	0.06522	0.04049	0.06010	0.00000	5	0.03508	2	9
L	DBA 1819	9.64	DBA 1819 P2 GK	0.00000	0.01961	-0.02385	-0.00425	0.01536	0.03497	-0.04346	-0.02386	-0.00425	0.01536	0.02307	0.04268	0.06228	0.08189	0.10150	0.12111	0.14072	0.16032	0.17993	0.19954	0.17155	0.19115	0.03227	0.05188	-0.05047	-0.03086	-0.01126	0.00835	0.02796	-0.02383	-0.00422	-0.03519	-0.01558	-0.03166	-0.01205	-0.17094	-0.15133	-0.13172	-0.11211	-0.11630	-0.09670	-0.13658	-0.11697	-0.12116	-0.10155	-0.08195	-0.06234	-0.05463	-0.03502	-0.01542	0.00419	0.00000	4	0.02374	3	9
L	DBA 1617	10.00	DBA 1617 P3 G9	0.00000	-0.03863	-0.01902	-0.02647	-0.00686	-0.02261	-0.02692	-0.05135	-0.03174	-0.01213	0.00748	0.02709	0.01549	-0.01691	0.00270	0.01538	-0.02846	-0.01302	0.00659	0.02620	0.03195	0.03768	0.04966	0.04986	0.05733	0.07694	0.09654	0.09660	0.11621	0.09422	0.11383	0.11956	0.13917	0.14664	0.14753	0.16713	0.16421	0.12349	0.12924	0.14885	0.16845	0.17280	0.16329	0.18290	0.14704	0.15693	0.11726	0.07134	0.09095	0.11055	0.13016	0.00000	4	0.02790	3	10
L	DBA 1516	9.60	DBA 1516 P3 G3	0.00000	-0.10121	-0.08160	-0.06200	-0.04239	-0.02278	-0.00317	0.01643	0.03604	-0.07649	-0.05688	-0.03727	-0.08374	-0.06413	-0.04452	-0.02491	-0.00530	0.01430	-0.02272	-0.00311	0.01650	0.03610	0.05571	0.07532	0.09493	0.11454	0.13414	0.15312	0.17273	0.19234	0.19106	0.20940	0.22901	0.10389	0.11344	0.13304	0.15265	0.17226	0.19187	0.11080	0.01713	0.03674	0.05635	0.07596	0.09557	0.07616	0.01334	0.01722	0.03683	0.03629	0.04331	0.00000	6	0.02840	3	9
L	DBA 1415	8.10	DBA 1415 P3 G3	0.00000	0.00726	0.02687	0.02178	0.04139	0.04866	0.06827	0.08787	0.10748	0.12709	0.14670	0.16631	0.18591	0.20552	0.22513	0.24474	0.26435	0.28395	0.30356	0.32317	0.34278	0.36238	0.38199	0.40160	0.42121	0.44082	0.46042	0.48003	0.49964	0.51925	0.53886	0.53377	0.55338	0.57299	0.59260	0.55047	0.57008	0.58969	0.57226	0.59187	0.61147	0.61256	0.63217	0.65178	0.67139	0.69099	0.46369	0.13145	0.10167	0.12127	0.07916	0.00000	5	0.48554	3	8
A	DBA 1819	8.14	DBA 1819 P2 GJ	0.00000	0.01961	-0.07706	-0.05746	-0.03785	-0.01824	0.00137	0.02097	0.04058	0.06019	0.07980	0.09941	0.11901	0.13862	0.15823	0.17784	0.19745	0.21705	0.16868	0.18829	0.16318	0.18278	0.20239	0.22200	0.24161	0.26122	0.28082	0.25571	0.27532	0.28151	0.30112	0.26169	0.28130	0.15779	0.17740	0.16123	0.18084	0.20045	0.16639	0.18600	0.20560	0.22521	0.20904	0.22865	0.11320	0.13280	0.15241	0.08257	0.10218	0.03234	0.05195	0.00000	4	0.08964	1	8
D	DBA 1617	10.00	DBA 1617 P2 G9	0.00000	0.01961	-0.00431	0.01529	0.03490	-0.01284	0.00677	0.02637	0.04598	0.06559	0.08520	0.10481	0.12441	0.14402	0.16363	0.15860	0.10839	0.12799	0.09668	0.11629	0.12768	0.14728	0.16279	0.18240	0.17162	0.19123	0.16647	0.12038	0.13999	0.08403	0.10364	0.09449	0.11410	0.12139	0.14100	0.16060	0.18021	0.19982	0.12005	0.13966	0.12476	0.14437	0.10690	0.12651	0.04098	0.06058	0.03584	0.05545	0.07506	0.09466	0.11427	0.00000	5	0.03998	2	10
A	DBA 1920	8.22	DBA 1920 P2 GB	0.00000	0.01961	-0.01842	0.00118	0.02079	0.01879	0.03840	0.05800	0.07761	0.09722	0.11683	0.10762	0.04077	0.06038	0.07278	0.09239	0.11200	0.09558	0.11519	0.13480	0.15441	0.17401	0.19362	0.12317	0.13269	0.15230	0.15749	0.16630	0.18591	0.20552	0.22513	0.24473	0.25713	0.18669	0.20630	0.17907	0.14104	0.16065	0.10821	0.10621	0.12581	0.10219	0.10739	0.12700	0.06016	0.02932	0.04893	-0.02079	-0.00118	0.01842	-0.00520	0.00000	4	0.04643	1	8
L	DBA 1415	8.10	DBA 1415 P2 G4	0.00000	-0.00817	0.01144	0.03104	0.02287	0.04248	0.06209	0.05392	0.07353	0.09314	0.11275	0.10458	0.11029	0.12990	0.14951	0.14134	0.16095	0.18055	0.20016	0.21977	0.22549	0.24509	0.22304	0.24265	0.22059	0.19853	0.21813	0.23774	0.25735	0.12419	0.08824	0.10784	0.12745	0.14706	0.16667	0.18627	0.20588	0.22549	0.24510	0.22304	0.15931	0.15114	0.10131	0.12092	0.08497	0.06291	0.04085	0.06046	0.08007	0.05800	0.06372	0.00000	5	0.06775	3	8
L	DBA 1415	6.60	DBA 1415 P3 G9	0.00000	-0.06550	-0.05652	-0.03692	-0.01731	0.00230	0.01659	0.03619	0.01324	-0.07353	-0.05392	-0.03431	-0.01471	0.00490	0.02451	0.04412	0.06373	0.08333	0.10294	0.12255	0.14216	0.16176	0.18137	0.20098	0.22059	0.24020	0.25980	0.27941	0.29902	0.27608	0.29569	0.31529	0.33490	0.35451	0.37412	0.17031	0.15801	0.17762	0.19723	0.08918	0.10878	0.00073	0.02034	0.03995	0.05956	0.07916	0.09877	0.11838	0.13799	0.13099	0.15060	0.00000	6	0.08001	3	5
D	DBA 1516	4.40	DBA 1516 P3 G4	0.00000	0.00612	0.02573	0.04533	0.06494	0.06657	0.08168	0.10128	0.09391	0.11352	0.13313	0.15274	0.17234	0.19195	0.21156	0.20194	0.19458	0.21418	0.19961	0.21922	0.22759	0.24719	0.26680	0.28641	0.30602	0.32563	0.34523	0.36484	0.38445	0.39102	0.41063	0.43023	0.44984	0.46945	0.47108	0.46145	0.48106	0.50067	0.52028	0.53989	0.55949	0.56561	0.58522	0.60483	0.62444	0.62606	0.64567	0.66528	0.56528	0.43740	-0.00837	0.00000	6	0.41036	2	0
A	DBA 1415	10.00	DBA 1415 P2 G3	0.00000	-0.00713	0.01248	0.03208	0.05169	0.04456	0.06417	0.08377	0.07130	0.09091	0.11052	0.13013	0.14973	0.14795	0.16756	0.18717	0.12122	0.14082	-0.00535	0.01426	0.01248	0.03208	-0.01783	0.00178	-0.10695	-0.08734	-0.06774	-0.15508	-0.13547	-0.11586	-0.09625	-0.10339	-0.08378	-0.06417	-0.04456	-0.02496	-0.00535	0.01426	0.00178	0.02139	0.04099	0.03921	0.04813	0.05704	0.00714	0.02674	0.01961	0.03922	0.05883	0.07843	0.02852	0.00000	5	0.01937	1	10
D	DBA 1516	8.60	DBA 1516 P3 G1	0.00000	-0.00365	0.01596	0.03556	0.05517	0.07478	0.09439	0.11399	0.13360	0.09507	0.11468	0.13429	0.08413	0.06885	0.08846	0.10807	0.07536	0.09496	0.11457	0.13418	0.15379	0.17339	0.16393	0.18354	0.20315	0.22276	0.24236	0.26197	0.25832	0.25468	0.27429	0.29389	0.31350	0.33311	0.32946	0.34906	0.36867	0.38828	0.40789	0.42750	0.44710	0.43183	0.45144	0.47105	0.33949	0.34165	0.36126	0.31110	0.27258	0.24566	0.16062	0.00000	5	0.18855	2	8
A	DBA 1314	10.00	DBA 1314 P3 G1	0.00000	0.01389	0.03350	0.03546	0.05507	0.07468	0.07443	0.09403	0.08681	0.07714	0.09675	0.11636	0.11659	0.04580	0.06243	0.08204	0.10165	0.08404	0.08283	0.07763	0.02172	0.02046	0.04007	0.05968	0.06069	0.08030	0.08905	0.10120	0.12081	0.14042	0.16003	0.16175	0.15655	0.17616	0.19577	0.21537	0.23498	0.25459	0.25679	0.23025	0.20215	0.21331	0.23292	0.23316	0.25277	0.27237	0.29001	-0.01684	0.00277	0.02237	0.00770	0.00000	6	0.05920	1	10
A	DBA 1819	7.40	DBA 1819 P2 GI	0.00000	0.01961	-0.09649	-0.07689	-0.05728	-0.03767	-0.01806	0.00154	0.02115	0.04076	0.06037	0.07998	0.09958	0.07848	0.09809	0.11770	0.13731	0.15691	0.15107	0.17068	0.18860	0.20820	0.19388	0.21349	0.16694	0.18655	0.20615	0.22576	0.24537	0.13776	0.15737	0.17697	0.19658	-0.06202	-0.04241	-0.05673	-0.03712	-0.01751	-0.07848	-0.05887	-0.05623	-0.03662	-0.01701	0.00260	0.02221	0.04181	0.06142	0.07933	0.09894	0.07104	0.09065	0.00000	4	0.04115	1	7
L	DBA 1415	9.00	DBA 1415 P2 G1	0.00000	0.01961	-0.04255	-0.20283	-0.18322	-0.27808	-0.25847	-0.23887	-0.21926	-0.22418	-0.27816	-0.25855	-0.23895	-0.21934	-0.22753	-0.26025	-0.24064	-0.22104	-0.20143	-0.18182	-0.16221	-0.14261	-0.13936	-0.11975	-0.10014	-0.08053	-0.10999	-0.10673	-0.08712	-0.19016	-0.17055	-0.19183	-0.18858	-0.16897	-0.14936	-0.12976	-0.13059	-0.14368	-0.12407	-0.15352	-0.13392	-0.16337	-0.14376	-0.12415	-0.10454	-0.08494	-0.06533	-0.04572	-0.02611	-0.00651	0.01310	0.00000	5	0.08237	3	9
D	DBA 1920	8.94	DBA 1920 P2 GF	0.00000	0.01961	0.00876	0.02836	0.04797	0.06758	0.08719	0.10679	0.12640	0.08508	0.10469	0.12430	0.14390	0.16351	0.18312	0.18369	0.20330	0.22290	0.24251	0.26212	0.28173	0.30133	0.32094	0.34055	0.36016	0.34169	0.34605	0.36566	0.26341	0.28302	0.30263	0.32223	0.34184	0.36145	0.35060	0.37020	0.38981	0.40942	0.42903	0.44864	0.46824	0.48785	0.50746	0.50422	0.52383	0.51297	0.53258	0.31609	0.33570	0.13214	0.15175	0.00000	4	0.27993	2	8
