DBA1314	0	20	76	77	80	83	84	84	103	105	105	105	132	148	161	183	190	196	197	278	286	287	293	302	303	314	323	325	325	328	328	329	334	334	347	424	469	497	502	505	508	521	543	557	592	612	627	667	712	730	782	973
DBA1415	0	23	37	61	73	96	101	118	146	166	175	179	188	193	210	231	241	258	281	291	298	303	323	330	355	366	394	412	417	457	461	471	472	473	482	513	526	530	538	594	602	672	703	703	719	730	763	797	828	870	906	973
DBA1516	0	55	95	111	125	134	144	150	151	184	197	218	236	252	265	279	293	306	312	319	351	367	370	387	392	418	423	426	437	448	454	481	499	511	524	534	554	557	567	574	595	612	615	617	635	670	692	713	748	784	868	975
DBA1617	0	25	72	83	84	92	106	111	127	127	129	137	149	173	193	212	243	251	262	268	283	295	310	316	328	330	356	368	388	413	415	436	442	449	468	474	491	522	542	566	593	613	641	671	694	720	755	783	814	860	883	972
DBA1718	0	20	67	79	90	99	102	104	109	114	123	127	131	145	168	195	217	223	235	239	243	253	262	280	298	314	346	352	396	409	432	436	437	455	463	476	486	496	507	539	567	592	618	636	654	686	707	727	769	847	904	970
DBA1819	0	0	67	83	90	102	110	110	117	119	130	133	133	159	180	191	196	202	214	225	235	243	271	271	298	299	320	331	337	357	367	380	392	436	445	495	511	523	540	552	568	603	606	658	677	717	768	787	826	901	901	977
DBA1920	0	0	63	71	71	82	84	87	100	105	109	111	140	157	173	191	206	208	211	213	223	232	249	273	281	297	325	334	345	349	355	362	367	382	397	424	444	454	468	506	527	541	555	587	626	648	695	734	779	873	874	974
A	0	19	80	91	100	112	119	125	136	146	152	158	173	191	208	225	240	248	260	274	302	308	321	329	340	346	361	369	385	407	414	425	432	452	479	507	518	535	547	568	587	601	621	648	670	696	718	759	803	856	901	973
D	0	25	78	87	96	113	126	126	143	159	169	178	206	219	242	261	272	280	285	293	299	308	334	346	355	362	384	391	396	410	412	437	443	464	474	511	530	539	556	598	611	646	652	668	682	704	735	760	777	850	867	977
L	0	16	61	75	79	87	90	93	104	111	116	121	132	155	170	190	209	216	227	239	246	258	271	285	304	318	341	352	366	378	389	399	408	420	426	450	475	490	502	519	539	573	592	615	649	678	716	739	781	836	869	974
